nome_repo,n_estrelas,d_criacao,d_atualizacao,n_releases,linguagem,n_issues,n_issues_fechadas,n_pull_requests
kelseyhightower/nocode,57423,2018-02-06T23:54:00Z,2023-08-22T19:56:42Z,1,Dockerfile,4525,628,4
leonardomso/33-js-concepts,57223,2018-09-04T13:27:04Z,2023-08-23T00:23:36Z,0,JavaScript,56,37,621
lodash/lodash,57006,2012-04-07T04:11:46Z,2023-08-22T18:42:46Z,2,JavaScript,4153,3795,8005
DopplerHQ/awesome-interview-questions,56950,2015-11-28T09:48:17Z,2023-08-22T23:41:31Z,0,,35,29,449
shadowsocks/shadowsocks-windows,56888,2013-01-14T07:54:16Z,2023-08-22T22:59:28Z,55,C#,2867,2727,1718
grafana/grafana,56760,2013-12-11T15:59:56Z,2023-08-22T23:00:51Z,375,TypeScript,31306,27803,44666
bregman-arie/devops-exercises,56559,2019-10-03T17:31:21Z,2023-08-23T00:16:02Z,0,Python,68,53,718
apache/echarts,56102,2013-04-03T03:18:59Z,2023-08-22T13:47:44Z,111,TypeScript,17258,15015,9136
lydiahallie/javascript-questions,55870,2019-06-12T08:26:27Z,2023-08-22T21:09:00Z,0,,220,217,1332
supabase/supabase,55596,2019-10-12T05:56:49Z,2023-08-23T00:22:58Z,28,TypeScript,2487,2156,24396
awesomedata/awesome-public-datasets,55570,2014-11-20T06:20:50Z,2023-08-23T00:15:47Z,0,,110,47,768
strapi/strapi,55550,2015-09-30T15:34:48Z,2023-08-22T22:49:38Z,292,JavaScript,8148,7826,32242
MunGell/awesome-for-beginners,55517,2015-10-24T19:53:36Z,2023-08-23T00:22:28Z,0,,134,117,462
scikit-learn/scikit-learn,55461,2010-08-17T09:43:38Z,2023-08-23T00:26:36Z,34,Python,10349,8745,30291
chrislgarry/Apollo-11,55296,2014-04-03T15:45:02Z,2023-08-22T19:59:27Z,0,Assembly,377,316,538
python/cpython,55271,2017-02-10T19:23:51Z,2023-08-22T23:44:24Z,0,Python,64307,57447,118346
Anduin2017/HowToCook,55221,2020-02-29T10:43:49Z,2023-08-22T21:37:25Z,1,Shell,610,266,2119
h5bp/html5-boilerplate,55159,2010-01-24T18:03:24Z,2023-08-22T23:28:03Z,32,JavaScript,1309,1305,2475
gatsbyjs/gatsby,54703,2015-05-21T22:43:05Z,2023-08-22T22:27:20Z,132,JavaScript,13939,13846,21531
fighting41love/funNLP,54481,2018-08-21T11:20:39Z,2023-08-23T00:26:38Z,0,Python,61,47,157
yt-dlp/yt-dlp,54312,2020-10-26T04:22:55Z,2023-08-23T00:25:35Z,72,Python,5605,4498,21921
microsoft/playwright,54142,2019-11-15T18:32:42Z,2023-08-23T00:05:20Z,111,TypeScript,10778,10141,11183
junegunn/fzf,53917,2013-10-23T16:04:23Z,2023-08-22T23:43:13Z,30,Go,2439,2162,2409
hoppscotch/hoppscotch,53878,2019-08-21T13:15:24Z,2023-08-22T22:49:38Z,25,TypeScript,1088,937,4857
syncthing/syncthing,53830,2013-11-26T09:48:21Z,2023-08-23T00:15:00Z,339,Go,5170,4862,7187
ElemeFE/element,53606,2016-09-03T06:19:26Z,2023-08-22T14:23:01Z,144,Vue,17541,15208,4602
excalidraw/excalidraw,53527,2020-01-02T01:04:43Z,2023-08-22T22:23:46Z,9,TypeScript,2670,1699,3173
apache/superset,53479,2015-07-21T18:55:34Z,2023-08-22T23:58:39Z,138,TypeScript,9397,8213,13845
rails/rails,53382,2008-04-11T02:19:47Z,2023-08-23T00:19:29Z,102,Ruby,16516,16118,88561
microsoft/ML-For-Beginners,53207,2021-03-03T01:34:05Z,2023-08-23T00:21:59Z,0,HTML,0,0,1600
TheAlgorithms/Java,53192,2016-07-16T10:21:02Z,2023-08-22T23:31:42Z,0,Java,839,835,1911
3b1b/manim,52967,2015-03-22T18:50:58Z,2023-08-22T22:13:11Z,10,Python,1082,709,5774
bradtraversy/design-resources-for-developers,52928,2020-05-06T14:40:35Z,2023-08-22T23:24:49Z,0,,87,87,2096
spring-projects/spring-framework,52853,2010-12-08T04:04:45Z,2023-08-23T00:22:40Z,265,Java,23919,22790,27711
tesseract-ocr/tesseract,52825,2014-08-12T18:04:59Z,2023-08-22T20:38:21Z,26,C++,2535,2149,6251
sindresorhus/awesome-nodejs,52433,2014-07-11T13:35:34Z,2023-08-23T00:22:31Z,0,,100,100,852
ventoy/Ventoy,52160,2020-03-10T15:19:19Z,2023-08-22T22:46:24Z,92,C,1902,1431,1030
azl397985856/leetcode,51971,2018-03-30T09:13:51Z,2023-08-22T23:37:49Z,40,JavaScript,248,241,1757
sdmg15/Best-websites-a-programmer-should-visit,51948,2017-03-05T20:25:17Z,2023-08-22T21:09:17Z,0,,108,71,1148
prakhar1989/awesome-courses,48708,2014-11-15T18:36:49Z,2023-08-23T00:22:36Z,0,,72,39,554
google/material-design-icons,48504,2014-10-08T18:01:28Z,2023-08-22T21:54:15Z,16,,1294,1053,227
danielmiessler/SecLists,48447,2012-02-19T01:30:18Z,2023-08-22T23:23:02Z,21,PHP,223,198,1640
fffaraz/awesome-cpp,48358,2014-07-17T08:51:11Z,2023-08-23T00:22:44Z,0,,566,225,1695
alacritty/alacritty,48206,2016-02-18T05:02:30Z,2023-08-23T00:22:44Z,84,Rust,5019,4721,2164
scrapy/scrapy,48196,2010-02-22T02:01:14Z,2023-08-22T22:20:38Z,33,Python,2844,2365,10032
google/guava,48159,2014-05-29T16:23:17Z,2023-08-22T23:39:30Z,40,Java,3487,2855,6156
localstack/localstack,48136,2016-10-25T23:48:03Z,2023-08-22T22:16:45Z,65,Python,4708,4370,4753
Solido/awesome-flutter,48134,2017-05-07T11:45:27Z,2023-08-23T00:22:48Z,0,Dart,0,0,1814
soimort/you-get,48013,2012-08-20T15:53:36Z,2023-08-22T23:10:25Z,118,Python,0,0,2515
prometheus/prometheus,49571,2012-11-24T11:14:12Z,2023-08-22T22:03:44Z,267,Go,5176,4496,11522
ionic-team/ionic-framework,49433,2013-08-20T23:06:02Z,2023-08-22T19:05:47Z,721,TypeScript,21085,20666,13093
ageitgey/face_recognition,49103,2017-03-03T21:52:39Z,2023-08-22T20:32:22Z,2,Python,1290,583,238
caddyserver/caddy,48763,2015-01-13T19:45:03Z,2023-08-22T23:56:19Z,110,Go,3547,3459,1755
prakhar1989/awesome-courses,48708,2014-11-15T18:36:49Z,2023-08-23T00:22:36Z,0,,72,39,554
google/material-design-icons,48504,2014-10-08T18:01:28Z,2023-08-22T21:54:15Z,16,,1294,1053,227
danielmiessler/SecLists,48447,2012-02-19T01:30:18Z,2023-08-22T23:23:02Z,21,PHP,223,198,1640
fffaraz/awesome-cpp,48358,2014-07-17T08:51:11Z,2023-08-23T00:22:44Z,0,,566,225,1695
alacritty/alacritty,48206,2016-02-18T05:02:30Z,2023-08-23T00:22:44Z,84,Rust,5019,4721,2164
scrapy/scrapy,48196,2010-02-22T02:01:14Z,2023-08-22T22:20:38Z,33,Python,2844,2365,10032
google/guava,48159,2014-05-29T16:23:17Z,2023-08-22T23:39:30Z,40,Java,3487,2855,6156
localstack/localstack,48136,2016-10-25T23:48:03Z,2023-08-22T22:16:45Z,65,Python,4708,4370,4753
Solido/awesome-flutter,48134,2017-05-07T11:45:27Z,2023-08-23T00:22:48Z,0,Dart,0,0,1814
soimort/you-get,48013,2012-08-20T15:53:36Z,2023-08-22T23:10:25Z,118,Python,0,0,2515
binhnguyennus/awesome-scalability,47850,2017-12-27T03:46:40Z,2023-08-23T00:22:53Z,0,,0,0,1167
moment/moment,47510,2011-03-01T02:46:06Z,2023-08-22T16:26:42Z,0,JavaScript,4066,3839,3980
jgthms/bulma,47438,2016-01-23T23:48:34Z,2023-08-23T00:03:36Z,17,CSS,2480,2279,1741
ReactiveX/RxJava,47183,2013-01-08T20:11:48Z,2023-08-22T23:32:20Z,231,Java,3130,3114,6042
jekyll/jekyll,47136,2008-10-20T06:29:03Z,2023-08-22T20:17:00Z,107,Ruby,4716,4634,11671
wasabeef/awesome-android-ui,47131,2014-12-24T01:45:03Z,2023-08-23T00:23:00Z,0,,104,92,459
git/git,47116,2008-07-23T14:21:26Z,2023-08-22T23:35:36Z,0,C,0,0,70876
facebook/docusaurus,47105,2017-06-20T16:13:53Z,2023-08-22T17:37:57Z,128,TypeScript,2708,2453,5653
nuxt/nuxt,46993,2016-10-26T11:18:47Z,2023-08-22T23:34:07Z,194,TypeScript,12614,11707,4639
juliangarnier/anime,46867,2016-03-13T21:37:45Z,2023-08-22T21:54:49Z,14,JavaScript,686,498,736
deepfakes/faceswap,46752,2017-12-19T09:44:13Z,2023-08-22T20:32:35Z,4,Python,818,800,1769
NARKOZ/hacker-scripts,46718,2015-11-21T19:05:09Z,2023-08-22T22:55:00Z,0,JavaScript,77,39,150
openai/openai-cookbook,46639,2022-03-11T02:08:53Z,2023-08-22T23:41:39Z,0,Jupyter Notebook,235,142,573
prettier/prettier,46445,2016-11-29T17:13:37Z,2023-08-22T23:38:08Z,103,JavaScript,6166,5177,8676
2dust/v2rayN,46381,2019-07-30T03:47:24Z,2023-08-22T23:31:15Z,159,C#,3582,3428,1055
d2l-ai/d2l-zh,46188,2017-08-23T04:40:24Z,2023-08-22T18:24:35Z,16,Python,0,0,4116
Alvin9999/new-pac,46016,2016-03-23T08:43:36Z,2023-08-22T18:25:15Z,0,,1450,1088,1678
Dreamacro/clash,45873,2018-06-10T14:28:14Z,2023-08-22T23:51:09Z,55,Go,2041,1987,916
ryanoasis/nerd-fonts,45834,2014-12-05T04:31:17Z,2023-08-22T20:23:19Z,32,CSS,808,784,2175
JetBrains/kotlin,45532,2012-02-13T17:29:58Z,2023-08-23T00:16:14Z,207,Kotlin,0,0,103904
rustdesk/rustdesk,45457,2020-09-28T15:36:08Z,2023-08-23T00:22:46Z,11,Rust,2108,2044,7286
tldr-pages/tldr,45193,2013-12-08T07:34:43Z,2023-08-23T00:02:36Z,2,Markdown,1105,950,12250
minimaxir/big-list-of-naughty-strings,45133,2015-08-08T20:57:20Z,2023-08-22T21:28:38Z,0,Python,92,31,273
serverless/serverless,45078,2015-04-21T03:48:40Z,2023-08-22T23:21:40Z,367,JavaScript,6007,5013,15710
DefinitelyTyped/DefinitelyTyped,44992,2012-10-05T16:39:45Z,2023-08-23T00:11:42Z,1,TypeScript,7911,7215,84552
cypress-io/cypress,44659,2015-03-04T00:46:28Z,2023-08-22T23:29:16Z,314,JavaScript,13153,11847,19805
chinese-poetry/chinese-poetry,44555,2016-09-02T03:32:25Z,2023-08-22T12:28:29Z,1,JavaScript,183,82,606
ziishaned/learn-regex,44431,2017-07-22T12:21:03Z,2023-08-22T23:51:54Z,0,,84,35,328
Textualize/rich,44430,2019-11-10T15:28:09Z,2023-08-22T21:15:15Z,157,Python,1138,1022,3833
square/okhttp,44391,2012-07-23T13:42:55Z,2023-08-22T22:40:58Z,0,Kotlin,3878,3792,5434
CorentinJ/Real-Time-Voice-Cloning,44321,2019-05-26T08:56:15Z,2023-08-23T00:10:07Z,0,Python,1027,881,296
traefik/traefik,44311,2015-09-13T19:04:02Z,2023-08-22T23:59:29Z,397,Go,5500,4881,4773
etcd-io/etcd,44272,2013-07-06T21:57:21Z,2023-08-22T22:08:18Z,225,Go,6299,6141,20148
xtekky/gpt4free,44221,2023-03-29T17:00:43Z,2023-08-23T00:24:40Z,5,Python,517,340,721
algorithm-visualizer/algorithm-visualizer,44063,2016-05-15T00:27:45Z,2023-08-22T21:23:18Z,0,JavaScript,106,74,667
iamkun/dayjs,43873,2018-04-10T09:26:44Z,2023-08-22T19:05:17Z,115,JavaScript,1422,778,1486
TryGhost/Ghost,43821,2013-05-04T11:09:13Z,2023-08-22T22:44:56Z,697,JavaScript,6645,6603,36158
vsouza/awesome-ios,43698,2014-07-10T16:03:45Z,2023-08-22T22:52:17Z,0,Swift,465,465,6346
mastodon/mastodon,43694,2016-02-22T15:01:25Z,2023-08-22T23:43:44Z,205,Ruby,9891,6146,14177
meteor/meteor,43645,2012-01-19T01:58:17Z,2023-08-22T18:07:50Z,0,JavaScript,8903,8707,33935
mozilla/pdf.js,43552,2011-04-26T06:32:03Z,2023-08-22T19:32:20Z,54,JavaScript,9132,8807,17746
ethereum/go-ethereum,43406,2013-12-26T13:05:46Z,2023-08-23T00:18:53Z,175,Go,7445,7191,14428
openai/whisper,43403,2022-09-16T20:02:54Z,2023-08-22T23:11:18Z,6,Python,0,0,118
oven-sh/bun,43264,2021-04-14T00:48:17Z,2023-08-23T00:09:51Z,90,Zig,2369,1383,7221
pi-hole/pi-hole,43172,2014-06-08T15:02:55Z,2023-08-22T23:34:28Z,100,Shell,2724,2693,5756
android/architecture-samples,43057,2016-02-05T13:42:07Z,2023-08-22T21:23:08Z,0,Kotlin,464,333,807
